branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,13.7967,12.6653,11.2413,14.1101,17.7112,22.5502,23.3956,19.1451,18.9332,21.4620,22.3458
1,13.7967,0.0000,10.0951,17.3309,15.2545,21.0307,25.0716,24.5646,22.0692,18.2662,21.6390,24.7513
2,12.6653,10.0951,0.0000,20.3056,20.5002,25.2292,26.8974,27.9969,26.5361,23.5066,24.9870,20.6019
3,11.2413,17.3309,20.3056,0.0000,6.9131,14.5903,17.9264,17.9705,17.4644,18.9207,16.8075,27.8328
4,14.1101,15.2545,20.5002,6.9131,0.0000,15.7662,19.6064,20.1801,17.1342,18.0396,17.3808,26.8417
5,17.7112,21.0307,25.2292,14.5903,15.7662,0.0000,19.6521,21.8233,22.3257,23.5550,17.1324,30.6501
6,22.5502,25.0716,26.8974,17.9264,19.6064,19.6521,0.0000,25.0271,24.1472,26.7910,5.2509,32.8263
7,23.3956,24.5646,27.9969,17.9705,20.1801,21.8233,25.0271,0.0000,23.4959,26.4379,23.2419,35.1576
8,19.1451,22.0692,26.5361,17.4644,17.1342,22.3257,24.1472,23.4959,0.0000,21.7582,22.9715,32.3414
9,18.9332,18.2662,23.5066,18.9207,18.0396,23.5550,26.7910,26.4379,21.7582,0.0000,24.0411,29.7401
10,21.4620,21.6390,24.9870,16.8075,17.3808,17.1324,5.2509,23.2419,22.9715,24.0411,0.0000,32.0946
11,22.3458,24.7513,20.6019,27.8328,26.8417,30.6501,32.8263,35.1576,32.3414,29.7401,32.0946,0.0000
