branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,9.5976,9.7192,10.2152,14.0660,18.1024,20.2450,22.0502,19.1021,18.6046,18.5928,20.1201
1,9.5976,0.0000,7.2388,18.0550,18.3135,23.0343,25.0572,23.8869,23.4952,17.9995,21.6084,22.2544
2,9.7192,7.2388,0.0000,18.0740,20.8902,25.5557,25.9026,26.2311,26.0549,22.3272,23.8090,18.7309
3,10.2152,18.0550,18.0740,0.0000,15.0261,17.6186,18.5254,19.9013,19.9342,19.9596,19.0274,26.1074
4,14.0660,18.3135,20.8902,15.0261,0.0000,20.1877,22.4978,22.2626,21.3803,21.4103,20.3895,26.7751
5,18.1024,23.0343,25.5557,17.6186,20.1877,0.0000,21.6503,23.6209,24.8630,25.0422,19.8047,31.0791
6,20.2450,25.0572,25.9026,18.5254,22.4978,21.6503,0.0000,25.0469,25.1780,26.8158,6.0977,31.7450
7,22.0502,23.8869,26.2311,19.9013,22.2626,23.6209,25.0469,0.0000,24.4829,26.4647,23.3152,34.1020
8,19.1021,23.4952,26.0549,19.9342,21.3803,24.8630,25.1780,24.4829,0.0000,22.7368,24.0477,31.7976
9,18.6046,17.9995,22.3272,19.9596,21.4103,25.0422,26.8158,26.4647,22.7368,0.0000,24.1378,28.0589
10,18.5928,21.6084,23.8090,19.0274,20.3895,19.8047,6.0977,23.3152,24.0477,24.1378,0.0000,30.9264
11,20.1201,22.2544,18.7309,26.1074,26.7751,31.0791,31.7450,34.1020,31.7976,28.0589,30.9264,0.0000
