branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,12.4684,1.1000,18.1500,18.3840,25.1037,19.6140,20.6322,15.1560,17.7158
1,12.4684,0.0000,12.2438,22.4092,23.5149,29.4171,22.7956,21.5133,19.3467,22.9083
2,1.1000,12.2438,0.0000,18.2236,17.8170,24.9646,20.0229,20.3959,14.9483,17.3005
3,18.1500,22.4092,18.2236,0.0000,17.1112,21.7491,25.4067,24.3753,17.2232,14.9461
4,18.3840,23.5149,17.8170,17.1112,0.0000,22.8258,25.5647,26.5374,13.5281,15.8318
5,25.1037,29.4171,24.9646,21.7491,22.8258,0.0000,31.2399,30.4914,22.7451,18.4428
6,19.6140,22.7956,20.0229,25.4067,25.5647,31.2399,0.0000,27.1318,24.0472,25.1171
7,20.6322,21.5133,20.3959,24.3753,26.5374,30.4914,27.1318,0.0000,24.1581,24.0352
8,15.1560,19.3467,14.9483,17.2232,13.5281,22.7451,24.0472,24.1581,0.0000,15.4312
9,17.7158,22.9083,17.3005,14.9461,15.8318,18.4428,25.1171,24.0352,15.4312,0.0000
