branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,16.2145,21.2379,24.6389,19.4331,16.5523,16.1978,21.8700,20.3048,21.2888,24.0736,19.2227
1,16.2145,0.0000,17.1580,21.4489,15.8107,15.3692,14.2848,20.1326,18.9424,20.0666,21.3905,15.5677
2,21.2379,17.1580,0.0000,25.9665,19.6014,19.1461,17.7054,23.6655,22.8533,23.2599,22.6140,18.8945
3,24.6389,21.4489,25.9665,0.0000,15.7975,18.2322,11.7427,4.4680,17.0421,20.9701,24.8940,24.0301
4,19.4331,15.8107,19.6014,15.7975,0.0000,4.7240,10.0898,14.6875,16.8884,18.2971,19.1451,17.6386
5,16.5523,15.3692,19.1461,18.2322,4.7240,0.0000,10.4667,16.4677,17.5777,17.9064,21.4132,17.5327
6,16.1978,14.2848,17.7054,11.7427,10.0898,10.4667,0.0000,8.4462,15.8099,17.4199,21.0640,14.6764
7,21.8700,20.1326,23.6655,4.4680,14.6875,16.4677,8.4462,0.0000,16.2782,20.4382,24.2166,21.1484
8,20.3048,18.9424,22.8533,17.0421,16.8884,17.5777,15.8099,16.2782,0.0000,20.3739,23.9877,20.7678
9,21.2888,20.0666,23.2599,20.9701,18.2971,17.9064,17.4199,20.4382,20.3739,0.0000,24.1907,21.2256
10,24.0736,21.3905,22.6140,24.8940,19.1451,21.4132,21.0640,24.2166,23.9877,24.1907,0.0000,19.9323
11,19.2227,15.5677,18.8945,24.0301,17.6386,17.5327,14.6764,21.1484,20.7678,21.2256,19.9323,0.0000
