branch_id,0,1,2,3,4,5,6,7,8,9,10
0,0.0000,22.4346,16.9608,17.6884,20.5341,30.5560,23.8440,19.9496,24.0693,23.6716,25.9259
1,22.4346,0.0000,13.3991,19.1269,16.8819,36.0653,25.4905,24.8703,28.7368,25.8655,31.4166
2,16.9608,13.3991,0.0000,11.2876,7.1155,30.5660,19.9453,17.5812,21.9987,20.1148,25.9458
3,17.6884,19.1269,11.2876,0.0000,16.3753,31.0985,22.3468,18.5359,22.8794,20.5997,25.0508
4,20.5341,16.8819,7.1155,16.3753,0.0000,32.8763,24.0381,21.8476,25.9341,22.3731,27.7960
5,30.5560,36.0653,30.5660,31.0985,32.8763,0.0000,33.2990,32.0677,33.5361,32.8262,33.8849
6,23.8440,25.4905,19.9453,22.3468,24.0381,33.2990,0.0000,7.0756,14.4251,18.0364,20.7602
7,19.9496,24.8703,17.5812,18.5359,21.8476,32.0677,7.0756,0.0000,17.1341,16.9681,21.3800
8,24.0693,28.7368,21.9987,22.8794,25.9341,33.5361,14.4251,17.1341,0.0000,18.5535,21.9263
9,23.6716,25.8655,20.1148,20.5997,22.3731,32.8262,18.0364,16.9681,18.5535,0.0000,21.5395
10,25.9259,31.4166,25.9458,25.0508,27.7960,33.8849,20.7602,21.3800,21.9263,21.5395,0.0000
