branch_id,0,1,2,3,4,5,6,7,8,9,10
0,0.0000,19.5297,19.5824,17.3265,18.0069,21.9295,26.3940,21.1946,25.7247,25.2470,27.5315
1,19.5297,0.0000,12.4311,17.8830,10.4176,27.2966,25.1141,23.7779,27.3624,25.2868,29.1115
2,19.5824,12.4311,0.0000,11.6978,5.2301,22.8200,23.0801,18.0872,23.5966,21.3028,26.6490
3,17.3265,17.8830,11.6978,0.0000,10.2229,21.7815,22.3933,20.5544,22.8108,21.1827,24.4795
4,18.0069,10.4176,5.2301,10.2229,0.0000,22.7931,23.2285,19.9206,24.0718,19.3804,25.9933
5,21.9295,27.2966,22.8200,21.7815,22.7931,0.0000,23.6030,22.9918,22.9355,23.5259,22.2469
6,26.3940,25.1141,23.0801,22.3933,23.2285,23.6030,0.0000,15.1108,17.8528,20.3403,21.4507
7,21.1946,23.7779,18.0872,20.5544,19.9206,22.9918,15.1108,0.0000,17.7044,18.9255,20.7082
8,25.7247,27.3624,23.5966,22.8108,24.0718,22.9355,17.8528,17.7044,0.0000,19.9939,20.9844
9,25.2470,25.2868,21.3028,21.1827,19.3804,23.5259,20.3403,18.9255,19.9939,0.0000,21.1926
10,27.5315,29.1115,26.6490,24.4795,25.9933,22.2469,21.4507,20.7082,20.9844,21.1926,0.0000
