branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,9.0406,12.9857,18.9290,16.0679,15.6286,16.1150,24.7773,22.1705,19.7507,28.8914,19.0029
1,9.0406,0.0000,9.2546,21.3137,19.1494,20.9331,20.1577,25.7757,25.4321,18.3645,30.7644,22.8097
2,12.9857,9.2546,0.0000,23.5508,23.4474,25.6872,21.9804,29.1503,29.0903,23.8855,33.0459,18.4408
3,18.9290,21.3137,23.5508,0.0000,8.5294,19.9527,15.9323,26.3828,26.2753,24.9746,32.0066,28.5006
4,16.0679,19.1494,23.4474,8.5294,0.0000,19.2572,19.2143,26.3257,24.9086,23.0707,31.0194,27.4658
5,15.6286,20.9331,25.6872,19.9527,19.2572,0.0000,11.3608,25.3130,26.6189,25.6828,28.7326,30.3670
6,16.1150,20.1577,21.9804,15.9323,19.2143,11.3608,0.0000,24.6692,24.5384,24.2881,26.1038,27.5248
7,24.7773,25.7757,29.1503,26.3828,26.3257,25.3130,24.6692,0.0000,29.3863,29.7296,34.5556,35.5482
8,22.1705,25.4321,29.0903,26.2753,24.9086,26.6189,24.5384,29.3863,0.0000,23.4484,34.5928,33.6025
9,19.7507,18.3645,23.8855,24.9746,23.0707,25.6828,24.2881,29.7296,23.4484,0.0000,34.0306,29.0084
10,28.8914,30.7644,33.0459,32.0066,31.0194,28.7326,26.1038,34.5556,34.5928,34.0306,0.0000,37.7896
11,19.0029,22.8097,18.4408,28.5006,27.4658,30.3670,27.5248,35.5482,33.6025,29.0084,37.7896,0.0000
