branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,14.7247,2.9426,19.5937,20.7709,26.7800,19.6832,15.9728,22.5597,20.9826
1,14.7247,0.0000,13.8298,23.0504,24.6742,30.2623,23.3719,17.9369,25.2363,24.5694
2,2.9426,13.8298,0.0000,18.1420,18.4175,25.1399,18.3893,14.5620,21.0701,19.0026
3,19.5937,23.0504,18.1420,0.0000,16.5175,21.7035,24.3719,19.3896,21.8081,15.7129
4,20.7709,24.6742,18.4175,16.5175,0.0000,22.7039,25.1916,22.3049,20.3465,17.6277
5,26.7800,30.2623,25.1399,21.7035,22.7039,0.0000,30.8692,27.2948,27.2132,21.0066
6,19.6832,23.3719,18.3893,24.3719,25.1916,30.8692,0.0000,23.0776,27.1553,24.9705
7,15.9728,17.9369,14.5620,19.3896,22.3049,27.2948,23.0776,0.0000,23.7001,20.6693
8,22.5597,25.2363,21.0701,21.8081,20.3465,27.2132,27.1553,23.7001,0.0000,22.1979
9,20.9826,24.5694,19.0026,15.7129,17.6277,21.0066,24.9705,20.6693,22.1979,0.0000
