branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,14.8200,17.8372,25.5616,20.9400,17.6114,19.3711,22.0319,17.3208,18.7742,26.9554,18.6214
1,14.8200,0.0000,9.5964,22.1276,16.4208,16.0145,16.2463,17.9773,12.3825,17.1623,22.5819,13.6993
2,17.8372,9.5964,0.0000,23.2650,17.6475,15.6475,15.2600,20.5409,16.3823,15.3961,22.5324,14.0518
3,25.5616,22.1276,23.2650,0.0000,19.6494,19.2389,18.2052,9.8379,16.0169,19.1477,26.9556,22.7609
4,20.9400,16.4208,17.6475,19.6494,0.0000,5.6089,16.0288,15.4894,15.6556,17.5804,23.9921,18.3183
5,17.6114,16.0145,15.6475,19.2389,5.6089,0.0000,13.6701,15.1747,14.6516,14.4851,24.4195,17.1250
6,19.3711,16.2463,15.2600,18.2052,16.0288,13.6701,0.0000,11.7311,12.6909,16.2107,23.9830,16.4072
7,22.0319,17.9773,20.5409,9.8379,15.4894,15.1747,11.7311,0.0000,9.7105,16.5440,25.9650,18.2701
8,17.3208,12.3825,16.3823,16.0169,15.6556,14.6516,12.6909,9.7105,0.0000,11.6824,23.8109,16.3375
9,18.7742,17.1623,15.3961,19.1477,17.5804,14.4851,16.2107,16.5440,11.6824,0.0000,23.3263,16.3760
10,26.9554,22.5819,22.5324,26.9556,23.9921,24.4195,23.9830,25.9650,23.8109,23.3263,0.0000,22.7490
11,18.6214,13.6993,14.0518,22.7609,18.3183,17.1250,16.4072,18.2701,16.3375,16.3760,22.7490,0.0000
