branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,13.9123,2.9484,21.1241,21.5058,25.8355,13.2587,18.2409,17.2714,20.5757
1,13.9123,0.0000,12.3697,23.9838,24.2383,28.9018,16.4796,18.1151,19.4213,23.8809
2,2.9484,12.3697,0.0000,19.5252,19.5270,24.7073,11.2689,16.8565,15.3057,19.0428
3,21.1241,23.9838,19.5252,0.0000,17.2483,22.1086,21.4857,23.1562,18.0147,16.2912
4,21.5058,24.2383,19.5270,17.2483,0.0000,24.4912,21.7487,24.0133,14.8020,17.5493
5,25.8355,28.9018,24.7073,22.1086,24.4912,0.0000,26.9952,28.0217,23.8382,19.0108
6,13.2587,16.4796,11.2689,21.4857,21.7487,26.9952,0.0000,19.0953,18.3767,21.5041
7,18.2409,18.1151,16.8565,23.1562,24.0133,28.0217,19.0953,0.0000,20.5137,22.7946
8,17.2714,19.4213,15.3057,18.0147,14.8020,23.8382,18.3767,20.5137,0.0000,17.2291
9,20.5757,23.8809,19.0428,16.2912,17.5493,19.0108,21.5041,22.7946,17.2291,0.0000
