branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,12.2793,0.8749,19.4986,20.5880,25.0719,16.9617,21.1758,15.1300,19.3657
1,12.2793,0.0000,11.9672,23.5193,24.7974,29.2051,20.2158,22.2097,19.2406,23.8230
2,0.8749,11.9672,0.0000,19.9896,20.7454,25.5508,17.2029,21.3424,15.4405,19.5201
3,19.4986,23.5193,19.9896,0.0000,17.7712,20.3337,24.2254,25.2802,16.6263,13.8649
4,20.5880,24.7974,20.7454,17.7712,0.0000,24.7167,25.5247,27.9001,15.8039,19.0560
5,25.0719,29.2051,25.5508,20.3337,24.7167,0.0000,29.7007,30.4793,23.0776,18.2901
6,16.9617,20.2158,17.2029,24.2254,25.5247,29.7007,0.0000,26.0060,21.9318,24.2541
7,21.1758,22.2097,21.3424,25.2802,27.9001,30.4793,26.0060,0.0000,24.3662,25.2926
8,15.1300,19.2406,15.4405,16.6263,15.8039,23.0776,21.9318,24.3662,0.0000,16.3344
9,19.3657,23.8230,19.5201,13.8649,19.0560,18.2901,24.2541,25.2926,16.3344,0.0000
