branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,17.3932,15.5071,18.1412,20.3017,23.6888,20.9344,21.9377,24.2116,26.8328
1,17.3932,0.0000,16.6815,15.7750,18.4738,20.0799,20.6207,21.5584,23.1046,25.1862
2,15.5071,16.6815,0.0000,20.8630,22.3397,23.2307,24.3724,25.8246,28.0503,29.9108
3,18.1412,15.7750,20.8630,0.0000,5.4890,12.5343,14.4851,15.2432,16.1961,18.2783
4,20.3017,18.4738,22.3397,5.4890,0.0000,16.5998,17.0552,16.4849,18.1777,18.9319
5,23.6888,20.0799,23.2307,12.5343,16.5998,0.0000,21.4065,23.3501,23.0204,23.6656
6,20.9344,20.6207,24.3724,14.4851,17.0552,21.4065,0.0000,13.5420,16.3698,22.4343
7,21.9377,21.5584,25.8246,15.2432,16.4849,23.3501,13.5420,0.0000,14.2917,21.6483
8,24.2116,23.1046,28.0503,16.1961,18.1777,23.0204,16.3698,14.2917,0.0000,22.8546
9,26.8328,25.1862,29.9108,18.2783,18.9319,23.6656,22.4343,21.6483,22.8546,0.0000
