branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,1.5155,13.2750,15.9539,27.0728,24.9543,25.7618,17.1885,19.2540,19.8060
1,1.5155,0.0000,12.9594,16.0388,27.8770,25.1776,25.4578,17.0093,19.4914,19.0612
2,13.2750,12.9594,0.0000,15.7746,26.1515,22.7667,24.4466,17.5425,17.2672,17.4139
3,15.9539,16.0388,15.7746,0.0000,24.8061,25.3260,25.8123,18.1540,15.0229,19.3235
4,27.0728,27.8770,26.1515,24.8061,0.0000,28.0135,30.8519,26.7980,24.7591,26.9313
5,24.9543,25.1776,22.7667,25.3260,28.0135,0.0000,29.8509,25.0070,24.6916,23.4689
6,25.7618,25.4578,24.4466,25.8123,30.8519,29.8509,0.0000,23.4142,26.7789,26.2317
7,17.1885,17.0093,17.5425,18.1540,26.7980,25.0070,23.4142,0.0000,20.4012,20.1875
8,19.2540,19.4914,17.2672,15.0229,24.7591,24.6916,26.7789,20.4012,0.0000,19.8316
9,19.8060,19.0612,17.4139,19.3235,26.9313,23.4689,26.2317,20.1875,19.8316,0.0000
