branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,2.5677,12.5711,18.3524,22.1920,28.1011,23.6649,15.5194,17.6524,15.7078
1,2.5677,0.0000,13.6709,18.9009,23.6369,28.7887,23.8390,16.3121,19.5297,17.8294
2,12.5711,13.6709,0.0000,19.3155,22.7195,27.8897,26.0704,19.6355,17.5088,17.8133
3,18.3524,18.9009,19.3155,0.0000,22.7785,31.3398,28.4579,20.9558,17.5257,21.2485
4,22.1920,23.6369,22.7195,22.7785,0.0000,28.0040,27.9985,23.1195,20.3796,21.9843
5,28.1011,28.7887,27.8897,31.3398,28.0040,0.0000,32.8795,27.5287,30.0826,27.5471
6,23.6649,23.8390,26.0704,28.4579,27.9985,32.8795,0.0000,23.6127,29.0669,26.5756
7,15.5194,16.3121,19.6355,20.9558,23.1195,27.5287,23.6127,0.0000,20.6035,19.4228
8,17.6524,19.5297,17.5088,17.5257,20.3796,30.0826,29.0669,20.6035,0.0000,19.7807
9,15.7078,17.8294,17.8133,21.2485,21.9843,27.5471,26.5756,19.4228,19.7807,0.0000
