branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,19.2657,19.5402,20.8026,21.3583,25.1086,21.1259,23.5296,24.6406,28.7576
1,19.2657,0.0000,19.8877,16.0769,18.1990,20.2415,18.4259,20.7620,21.7785,25.3774
2,19.5402,19.8877,0.0000,22.9356,23.6697,25.7067,24.2471,27.0140,28.0813,31.5785
3,20.8026,16.0769,22.9356,0.0000,4.9688,12.3442,13.0147,15.4894,15.1841,19.1606
4,21.3583,18.1990,23.6697,4.9688,0.0000,16.6463,14.2102,15.5654,16.4601,19.3383
5,25.1086,20.2415,25.7067,12.3442,16.6463,0.0000,20.0558,23.1661,22.9523,24.3661
6,21.1259,18.4259,24.2471,13.0147,14.2102,20.0558,0.0000,13.0403,14.9010,20.8487
7,23.5296,20.7620,27.0140,15.4894,15.5654,23.1661,13.0403,0.0000,13.7065,21.2365
8,24.6406,21.7785,28.0813,15.1841,16.4601,22.9523,14.9010,13.7065,0.0000,22.2086
9,28.7576,25.3774,31.5785,19.1606,19.3383,24.3661,20.8487,21.2365,22.2086,0.0000
