branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,3.1351,13.5163,16.4966,27.6961,25.6408,26.0284,17.3482,19.6991,20.1884
1,3.1351,0.0000,10.9449,15.8365,27.0852,25.1439,24.3305,16.4373,19.1811,19.2923
2,13.5163,10.9449,0.0000,14.9845,25.5506,22.7647,24.5257,17.2053,15.9909,16.8041
3,16.4966,15.8365,14.9845,0.0000,24.8073,25.3260,25.8104,18.1538,14.6838,19.3266
4,27.6961,27.0852,25.5506,24.8073,0.0000,28.0134,30.8524,26.7994,24.5414,26.9379
5,25.6408,25.1439,22.7647,25.3260,28.0134,0.0000,29.8483,25.0066,24.8875,23.4733
6,26.0284,24.3305,24.5257,25.8104,30.8524,29.8483,0.0000,23.4130,27.4355,26.2309
7,17.3482,16.4373,17.2053,18.1538,26.7994,25.0066,23.4130,0.0000,20.1494,20.1897
8,19.6991,19.1811,15.9909,14.6838,24.5414,24.8875,27.4355,20.1494,0.0000,18.9670
9,20.1884,19.2923,16.8041,19.3266,26.9379,23.4733,26.2309,20.1897,18.9670,0.0000
