branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,17.3931,15.5180,18.2640,20.4900,23.6891,20.0363,22.4681,23.7949,26.8333
1,17.3931,0.0000,16.6924,15.8509,18.4857,20.0792,18.8714,21.6226,22.7559,25.1871
2,15.5180,16.6924,0.0000,20.9521,22.4685,23.2448,23.1888,26.0520,27.6264,29.9132
3,18.2640,15.8509,20.9521,0.0000,6.0785,12.8186,11.8680,14.6492,15.7056,18.4982
4,20.4900,18.4857,22.4685,6.0785,0.0000,16.4634,16.2794,16.7264,17.9825,19.1561
5,23.6891,20.0792,23.2448,12.8186,16.4634,0.0000,20.1943,23.2004,22.9856,23.6676
6,20.0363,18.8714,23.1888,11.8680,16.2794,20.1943,0.0000,13.3453,14.9711,21.2649
7,22.4681,21.6226,26.0520,14.6492,16.7264,23.2004,13.3453,0.0000,13.8743,21.2122
8,23.7949,22.7559,27.6264,15.7056,17.9825,22.9856,14.9711,13.8743,0.0000,22.3755
9,26.8333,25.1871,29.9132,18.4982,19.1561,23.6676,21.2649,21.2122,22.3755,0.0000
