branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,10.4579,12.6064,16.9243,8.7935,17.3677,15.8883,20.5951,15.1064,20.7242,15.2147,17.8053
1,10.4579,0.0000,9.3219,22.3353,15.2766,22.3151,21.8690,22.4963,21.6431,21.4897,20.1046,22.0348
2,12.6064,9.3219,0.0000,22.8001,19.5729,25.3526,23.6269,24.8792,24.0652,24.8558,20.9072,17.3797
3,16.9243,22.3353,22.8001,0.0000,13.5700,20.1101,19.5015,21.3187,20.2713,26.3419,19.7900,28.0280
4,8.7935,15.2766,19.5729,13.5700,0.0000,16.4318,13.5316,17.8916,14.1870,21.8293,15.6376,24.3847
5,17.3677,22.3151,25.3526,20.1101,16.4318,0.0000,16.4741,20.9013,21.0580,27.7647,15.1050,29.6468
6,15.8883,21.8690,23.6269,19.5015,13.5316,16.4741,0.0000,20.1071,19.2324,26.8604,7.6593,27.5864
7,20.5951,22.4963,24.8792,21.3187,17.8916,20.9013,20.1071,0.0000,19.8669,26.1762,19.9924,31.5681
8,15.1064,21.6431,24.0652,20.2713,14.1870,21.0580,19.2324,19.8669,0.0000,23.7014,17.7291,29.1006
9,20.7242,21.4897,24.8558,26.3419,21.8293,27.7647,26.8604,26.1762,23.7014,0.0000,25.2122,29.5611
10,15.2147,20.1046,20.9072,19.7900,15.6376,15.1050,7.6593,19.9924,17.7291,25.2122,0.0000,27.6200
11,17.8053,22.0348,17.3797,28.0280,24.3847,29.6468,27.5864,31.5681,29.1006,29.5611,27.6200,0.0000
