branch_id,0,1,2,3,4,5,6,7,8,9,10
0,0.0000,21.6959,18.3028,19.8925,18.6728,22.8901,25.6325,20.6099,26.4913,25.2925,27.1823
1,21.6959,0.0000,16.1476,17.4637,11.8684,28.4651,25.5948,23.5720,29.0395,25.7481,31.0536
2,18.3028,16.1476,0.0000,13.6133,6.2395,22.9514,21.8510,19.8772,24.5912,21.7125,26.0597
3,19.8925,17.4637,13.6133,0.0000,11.2525,21.0251,22.2974,17.2314,23.0493,20.3204,24.3167
4,18.6728,11.8684,6.2395,11.2525,0.0000,22.4361,21.9069,19.3506,23.8053,18.9982,25.5400
5,22.8901,28.4651,22.9514,21.0251,22.4361,0.0000,23.2639,21.0904,23.6604,23.5234,22.3756
6,25.6325,25.5948,21.8510,22.2974,21.9069,23.2639,0.0000,7.7867,18.1470,20.0676,20.3951
7,20.6099,23.5720,19.8772,17.2314,19.3506,21.0904,7.7867,0.0000,17.2116,17.2517,19.1095
8,26.4913,29.0395,24.5912,23.0493,23.8053,23.6604,18.1470,17.2116,0.0000,20.9670,21.8018
9,25.2925,25.7481,21.7125,20.3204,18.9982,23.5234,20.0676,17.2517,20.9670,0.0000,21.2514
10,27.1823,31.0536,26.0597,24.3167,25.5400,22.3756,20.3951,19.1095,21.8018,21.2514,0.0000
