branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,1.6757,13.1302,17.9747,26.7814,23.9645,18.0705,15.8859,22.3913,14.6877
1,1.6757,0.0000,13.2050,18.1920,27.3386,24.8373,17.4431,16.0091,23.3854,15.6179
2,13.1302,13.2050,0.0000,19.5402,27.5998,23.7912,21.2983,20.3533,22.8532,15.8746
3,17.9747,18.1920,19.5402,0.0000,27.7791,28.5007,23.5856,21.1133,22.2736,20.2869
4,26.7814,27.3386,27.5998,27.7791,0.0000,28.7099,29.4971,28.2715,29.1305,25.9653
5,23.9645,24.8373,23.7912,28.5007,28.7099,0.0000,26.4391,25.5483,29.1868,22.0416
6,18.0705,17.4431,21.2983,23.5856,29.4971,26.4391,0.0000,18.8808,27.9637,20.1446
7,15.8859,16.0091,20.3533,21.1133,28.2715,25.5483,18.8808,0.0000,25.0321,18.1469
8,22.3913,23.3854,22.8532,22.2736,29.1305,29.1868,27.9637,25.0321,0.0000,22.3614
9,14.6877,15.6179,15.8746,20.2869,25.9653,22.0416,20.1446,18.1469,22.3614,0.0000
