branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,12.4459,19.2597,23.4054,20.0167,17.6989,19.8147,21.4478,24.7567,16.9774,26.5609,19.5005
1,12.4459,0.0000,9.4703,19.8712,16.2974,14.4685,15.0577,18.0440,22.3229,15.4149,22.3238,12.4521
2,19.2597,9.4703,0.0000,22.8516,19.4965,17.2184,19.7272,22.3365,24.9902,16.5730,23.6751,16.5635
3,23.4054,19.8712,22.8516,0.0000,17.8143,17.9867,17.6274,3.9497,21.7501,16.6054,26.5456,21.9816
4,20.0167,16.2974,19.4965,17.8143,0.0000,4.3592,17.1504,17.4248,24.0619,16.9987,23.7177,18.6078
5,17.6989,14.4685,17.2184,17.9867,4.3592,0.0000,15.6654,17.6417,23.1975,14.2731,24.5289,17.9203
6,19.8147,15.0577,19.7272,17.6274,17.1504,15.6654,0.0000,16.5880,23.3962,16.1329,25.0490,18.1310
7,21.4478,18.0440,22.3365,3.9497,17.4248,17.6417,16.5880,0.0000,22.0919,16.7558,26.5197,19.8638
8,24.7567,22.3229,24.9902,21.7501,24.0619,23.1975,23.3962,22.0919,0.0000,21.3615,29.9753,24.8753
9,16.9774,15.4149,16.5730,16.6054,16.9987,14.2731,16.1329,16.7558,21.3615,0.0000,23.4345,15.9935
10,26.5609,22.3238,23.6751,26.5456,23.7177,24.5289,25.0490,26.5197,29.9753,23.4345,0.0000,23.0085
11,19.5005,12.4521,16.5635,21.9816,18.6078,17.9203,18.1310,19.8638,24.8753,15.9935,23.0085,0.0000
