branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,13.0403,16.3916,16.0965,13.1855,19.3437,23.5800,24.4561,20.1251,20.2946,21.8226,23.6677
1,13.0403,0.0000,8.6529,16.1991,14.3348,19.9280,24.0051,23.6079,21.5836,16.5990,20.8443,24.2819
2,16.3916,8.6529,0.0000,20.5617,19.4922,25.3560,27.1083,27.9978,26.6065,23.6516,24.8699,21.2571
3,16.0965,16.1991,20.5617,0.0000,3.9486,14.8917,18.3282,18.5131,17.8304,19.3364,17.1917,27.8816
4,13.1855,14.3348,19.4922,3.9486,0.0000,14.5867,18.3706,19.3113,16.2695,16.4622,16.8605,26.4296
5,19.3437,19.9280,25.3560,14.8917,14.5867,0.0000,19.7406,21.9043,22.3112,23.5462,17.0894,30.6406
6,23.5800,24.0051,27.1083,18.3282,18.3706,19.7406,0.0000,25.0163,24.1907,26.8015,4.7707,32.7630
7,24.4561,23.6079,27.9978,18.5131,19.3113,21.9043,25.0163,0.0000,23.5684,26.4029,23.2040,35.1664
8,20.1251,21.5836,26.6065,17.8304,16.2695,22.3112,24.1907,23.5684,0.0000,21.6921,22.9834,32.3560
9,20.2946,16.5990,23.6516,19.3364,16.4622,23.5462,26.8015,26.4029,21.6921,0.0000,23.8459,29.6378
10,21.8226,20.8443,24.8699,17.1917,16.8605,17.0894,4.7707,23.2040,22.9834,23.8459,0.0000,32.1353
11,23.6677,24.2819,21.2571,27.8816,26.4296,30.6406,32.7630,35.1664,32.3560,29.6378,32.1353,0.0000
