branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,20.5119,16.7445,22.2741,21.3641,26.3744,18.2645,22.6902,23.7820,27.0179
1,20.5119,0.0000,21.2945,21.4471,20.3707,25.3435,19.2119,21.6285,22.6142,25.6998
2,16.7445,21.2945,0.0000,24.6927,23.9706,27.3624,22.2187,25.7596,27.2437,30.0456
3,22.2741,21.4471,24.6927,0.0000,15.7409,20.9892,15.1815,18.3924,17.3120,19.8829
4,21.3641,20.3707,23.9706,15.7409,0.0000,19.6697,14.0719,16.8206,16.7359,17.8647
5,26.3744,25.3435,27.3624,20.9892,19.6697,0.0000,19.2125,25.2719,24.9388,23.2502
6,18.2645,19.2119,22.2187,15.1815,14.0719,19.2125,0.0000,7.9242,10.5371,18.1627
7,22.6902,21.6285,25.7596,18.3924,16.8206,25.2719,7.9242,0.0000,13.4936,19.9152
8,23.7820,22.6142,27.2437,17.3120,16.7359,24.9388,10.5371,13.4936,0.0000,20.7896
9,27.0179,25.6998,30.0456,19.8829,17.8647,23.2502,18.1627,19.9152,20.7896,0.0000
