branch_id,0,1,2,3,4,5,6,7,8,9
0,0.0000,18.8065,14.3579,19.9412,21.1555,23.4621,19.2130,22.8384,23.1751,27.8211
1,18.8065,0.0000,18.9563,18.3326,19.6661,20.5992,18.1730,21.5510,22.0981,25.7661
2,14.3579,18.9563,0.0000,21.7331,22.7898,23.5004,21.5203,26.0020,26.0567,29.6137
3,19.9412,18.3326,21.7331,0.0000,6.3065,12.5125,11.8747,15.9439,14.0363,18.5383
4,21.1555,19.6661,22.7898,6.3065,0.0000,17.0572,15.0908,16.9023,16.5706,18.6271
5,23.4621,20.5992,23.5004,12.5125,17.0572,0.0000,19.3931,23.0163,22.5037,22.8023
6,19.2130,18.1730,21.5203,11.8747,15.0908,19.3931,0.0000,13.5407,14.1359,19.2629
7,22.8384,21.5510,26.0020,15.9439,16.9023,23.0163,13.5407,0.0000,14.5084,20.9933
8,23.1751,22.0981,26.0567,14.0363,16.5706,22.5037,14.1359,14.5084,0.0000,21.3032
9,27.8211,25.7661,29.6137,18.5383,18.6271,22.8023,19.2629,20.9933,21.3032,0.0000
