branch_id,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0000,14.7011,17.0542,26.1031,19.8504,17.2235,16.6962,22.6265,24.5962,22.4786,20.8798,25.8709
1,14.7011,0.0000,3.4397,22.3370,13.7472,12.7052,9.8895,19.4475,21.7481,19.4774,13.1031,20.9271
2,17.0542,3.4397,0.0000,23.7153,15.4500,14.3735,12.0964,21.7974,22.7372,19.5206,14.4494,21.2522
3,26.1031,22.3370,23.7153,0.0000,19.9576,20.4014,16.7374,13.7625,24.1956,23.5448,22.7697,28.9794
4,19.8504,13.7472,15.4500,19.9576,0.0000,4.4323,12.7512,17.3930,23.2880,20.4524,15.7199,24.4306
5,17.2235,12.7052,14.3735,20.4014,4.4323,0.0000,11.7708,17.4868,22.2422,18.7274,17.4302,23.4521
6,16.6962,9.8895,12.0964,16.7374,12.7512,11.7708,0.0000,10.0733,20.4825,17.5882,15.7866,22.4020
7,22.6265,19.4475,21.7974,13.7625,17.3930,17.4868,10.0733,0.0000,22.2395,21.8973,20.8380,27.3271
8,24.5962,21.7481,22.7372,24.1956,23.2880,22.2422,20.4825,22.2395,0.0000,25.3046,24.8460,29.0725
9,22.4786,19.4774,19.5206,23.5448,20.4524,18.7274,17.5882,21.8973,25.3046,0.0000,20.8372,27.1951
10,20.8798,13.1031,14.4494,22.7697,15.7199,17.4302,15.7866,20.8380,24.8460,20.8372,0.0000,21.8921
11,25.8709,20.9271,21.2522,28.9794,24.4306,23.4521,22.4020,27.3271,29.0725,27.1951,21.8921,0.0000
